Cage Size,H3 Bird New Reg Price - changed 1-31-2019,H3 Bird New Sale Price - changed 1-31-2019,H3 reptile New Reg Price - changed 1-31-2019,H3 reptile New Sale Price - changed 1-31-2019,H3 Hood/Stand w cage price - changed 1-31-2019,H3 sys A POF/POT Price - changed 8/2011,H3 sys B POF/POT Price - changed 8/2015,H3 Rem Div Price  - changed 8/2015,H3 Cover Price - changed 10/2017 ,,H2 Bird New Reg Price - changed 1-31-2019,H2 Bird New Sale Price - changed1-31-2019,H2 reptile New Reg Price - changed 1-31-2019,H2 reptile New Sale Price - changed 1-31-2019,H2 Hood/Stand w cage price - changed 1-31-2019,H2 sys A POF/POT Price - changed 8/2011,H2 sys B POF/POT Price - changed 8/2015,H2 Rem Div Price  - changed 8/2015,H2 Cover Price - changed 10/2017,,Majestic New Bird Regular Price - changed 8/2011,Majestic New Bird Regular Price - changed 2016,Majestic New Bird Sale Price - changed 8/2011,Majestic New Bird Sale Price - changed 2016,Majestic New Reptile Regular Price - changed 8/2011,Majestic New Reptile Regular Price - changed 2016,Majestic New Reptile Sale Price - changed 8/2011,Majestic New Reptile Sale Price - changed 2016,Majestic Hood/Stands No Door - changed 8/2011,Majestic Hood/Stands No Door - changed 2015,Majestic Hood/Stands with Door - changed 8/2011,Majestic Hood/Stands No Door - changed 2019,Majestic Hood/Stands with Door - changed 2015,POT B Price - changed 8/2011,Majestic Hood/Stands with Door - changed 2019,POT B Price - changed 2015,Majestic Rem. Div. Price - changed 8/2011,Majestic Rem. Div. Price - changed 2015,Majestic Cover Price - changed 8/2011,Majestic Cover Price - changed 2015
12-30-18,601.37, ,542.02, ,427.1,N/A**,211.95,107.95,186.27,,450.17, ,390.82, ,313.54,163.68,211.95,120.95,186.27,,"1,300.95","1,905.41", , ,"1,271.95","1,852.42", , ,350.95,393.95,535.95,441.224,616.95,273.95,690.984,306.95,142.95,160.95,119.95,186.27
12-30-24,682.75, ,603.62, ,469.08,N/A**,256.95,129.95,200.25,,518.11, ,438.98, ,344.9,212.82,256.95,145.95,200.25,,"1,420.95","2,076.51", , ,"1,376.95","2,005.86", , ,386.95,433.95,570.95,486.024,656.95,307.95,735.784,344.95,166.95,186.95,129.95,200.25
12-30-30,768.61, ,669.7, ,514.87,240.9,300.95,152.95,214.23,,583.81, ,484.9, ,374.02,N/A**,300.95,171.95,214.23,,"1,540.95","2,250.98", , ,"1,484.95","2,162.66", , ,422.95,473.95,607.95,530.824,699.95,341.95,783.944,382.95,191.95,214.95,138.95,214.23
12-30-36,850, ,731.3, ,556.86,N/A**,343.95,173.95,228.18,,649.52, ,530.82, ,402.02,N/A**,343.95,194.95,228.18,,"1,661.95","2,420.96", , ,"1,589.95","2,314.98", , ,456.95,511.95,642.95,573.384,739.95,374.95,828.744,419.95,214.95,240.95,147.95,228.18
12-30-42,932.5, ,794.02, ,599.8,N/A**,388.95,195.95,242.16,,715.22, ,576.74, ,432.26,N/A**,388.95,219.95,242.16,,"1,781.95","2,592.06", , ,"1,694.95","2,468.42", , ,491.95,550.95,676.95,617.064,778.95,409.95,872.424,459.95,238.95,267.95,156.95,242.16
12-30-48,"1,018.36", ,860.1, ,645.59,N/A**,432.95,217.95,256.14,,783.16, ,624.9, ,461.38,N/A**,432.95,244.95,256.14,,"1,902.95","2,766.52", , ,"1,802.95","2,625.22", , ,527.95,591.95,712.95,662.984,819.95,443.95,918.344,497.95,263.95,295.95,164.95,256.14
12-30-60,"1,182.24", ,984.42, ,730.51,N/A**,521.95,262.95,284.07,,917.92, ,720.1, ,521.86,N/A**,521.95,294.95,284.07,,"2,142.95","3,106.49", , ,"2,011.95","2,929.86", , ,598.95,670.95,783.95,751.464,901.95,511.95,1010.184,573.95,311.95,349.95,183.95,284.07
12-36-12,562.46, ,518.5, ,413.23,130.92,189.95,84.95,186.27,,413.5, ,369.54, ,304.58,130.92,189.95,95.95,186.27,,"1,267.95","1,858.07", , ,"1,248.95","1,818.82", , ,333.95,374.95,542.95,419.944,624.95,276.95,699.944,310.95,116.95,130.95,119.95,186.27
12-36-18,652.76, ,586.82, ,459.05,N/A**,239.95,107.95,200.25,,488.12, ,422.18, ,335.94,194.1,239.95,120.95,200.25,,"1,391.95","2,035.62", , ,"1,356.95","1,976.74", , ,369.95,414.95,579.95,464.744,666.95,314.95,746.984,352.95,142.95,160.95,129.95,200.25
12-36-24,746.42, ,658.5, ,507.73,210.48,292.95,129.95,214.23,,561.62, ,473.7, ,369.54,210.48,292.95,145.95,214.23,,"1,516.95","2,215.40", , ,"1,466.95","2,136.90", , ,408.95,458.95,616.95,514.024,709.95,355.95,795.144,398.95,166.95,186.95,138.95,214.23
12-36-30,836.72, ,726.82, ,553.55,N/A**,342.95,152.95,228.18,,635.12, ,525.22, ,402.02,N/A**,342.95,171.95,228.18,,"1,640.95","2,390.71", , ,"1,573.95","2,292.58", , ,445.95,499.95,655.95,559.944,754.95,393.95,845.544,441.95,191.95,214.95,147.95,228.18
