HxLxD,Height,Length,Depth,"""C"" for custom ""S"" for special",Panels Long,Panels Deep,"Price with 1"" wire and PC Steel Pitched Roof","Discount for 1"" wire roof instead of pitched roof","Addl. 1"" wire floor option (bolted in on larger cages - removable on smaller cages - or wire roof add on (in addition to steel roof)","Bolted on bottom only ""B"" or removable option ""R""  (bolt on wire floor keeps varmets out, can also sub for other diamenters or solid materials)",Price Per Divider to split the Length (goes front to back in the cage),Price Per Divider to split the depth (goes left to right in cage),Silver Alum Frame Upgrade,Alum/Silver Roof Upgrade,Printed Background on Black Granite Laminate (per panel) Bird,Printed Background on Black Granite Laminate (per panel) Bird,Printed Background on Aluminum Laminate (per panel) Bird,Printed Background on Aluminum Laminate (per panel) Bird,"Safety Catch 1"" pc wire","DOUBLE Safety Catch 1"" pc wire","Extra Door (in place of a panel - 1"" pc wire)",Pull Out Tray Price,Powder coated aluminum upgrade pull out tray,cut to size washable lenolium - fits in tray or sit on floor,bird special price,cat regular price,cat special price
12-84-48,12,84,48,c,1,1,2688,1623,547,R,150,188,100,256,68,39,87,50,506,405,110,420.00,546.00,151.20,0,2673.00,0
12-84-60,12,84,60,c,1,1,2868,2054,611,R,152,189,100,313,68,49,87,62,506,405,115,525.00,682.50,189.00,0,2854.00,0
12-84-72,12,84,72,c,1,1,3520,2295,865,R,177,190,100,370,68,59,87,74,506,405,120,630.00,819.00,226.80,0,3506.00,0
12-84-84,12,84,84,c,1,1,3936,2709,946,R,191,191,100,427,68,68,87,87,506,405,124,735.00,955.50,264.60,0,3922.00,0
12-90-12,12,90,12,c,1,1,1372,460,265,R,110,184,100,90,73,10,93,12,506,405,96,112.50,146.25,40.50,0,1358.00,0
12-90-18,12,90,18,c,1,1,1573,698,289,R,116,184,100,120,73,15,93,19,506,405,98,168.75,219.38,60.75,0,1559.00,0
12-90-24,12,90,24,c,1,1,1774,937,313,R,123,184,100,150,73,20,93,25,506,405,100,225.00,292.50,81.00,0,1760.00,0
12-90-30,12,90,30,c,1,1,1814,1176,337,R,120,184,100,180,73,24,93,31,506,405,103,281.25,365.63,101.25,0,1800.00,0
12-90-36,12,90,36,c,1,1,2176,1276,499,R,137,184,100,210,73,29,93,37,506,405,105,337.50,438.75,121.50,0,2162.00,0
12-90-42,12,90,42,c,1,1,2377,1506,532,R,144,184,100,240,73,34,93,43,506,405,108,393.75,511.88,141.75,0,2363.00,0
12-90-48,12,90,48,c,1,1,2578,1736,564,R,150,184,100,270,73,39,93,50,506,405,110,450.00,585.00,162.00,0,2564.00,0
12-90-60,12,90,60,c,1,1,2735,2196,629,R,152,184,100,330,73,49,93,62,506,405,115,562.50,731.25,202.50,0,2721.00,0
12-90-72,12,90,72,c,1,1,3383,2464,886,R,178,184,100,390,73,59,93,74,506,405,120,675.00,877.50,243.00,0,3368.00,0
12-90-84,12,90,84,c,1,1,3785,2907,968,R,191,184,100,450,73,68,93,87,506,405,124,787.50,1023.75,283.50,0,3771.00,0
12-90-90,12,90,90,c,1,1,3657,3128,1010,R,184,184,100,480,73,73,93,93,506,405,127,843.75,1096.88,303.75,0,3643.00,0
12-120-12,12,120,12,c,1,1,1575,606,319,R,112,218,100,115,98,10,124,12,506,405,96,150.00,195.00,54.00,0,1560.00,0
12-120-18,12,120,18,c,1,1,1821,915,348,R,119,218,100,153,98,15,124,19,506,405,98,225.00,292.50,81.00,0,1806.00,0
12-120-24,12,120,24,c,1,1,2067,1102,498,R,126,218,100,190,98,20,124,25,506,405,100,300.00,390.00,108.00,0,2053.00,0
